rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
11677,content_59063d432dac,client_a88a7902cb,0.591193077909525,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,242,0,10.9,0.0,20,148,down
11678,content_91067a14431a,client_6208ef0f77,0.5911911937020807,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,179,0,27.1,0.0,104,124,down
11679,content_66677b99e328,client_7f2253d7e2,0.5911877283164438,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,29616,49,30.1,0.17,20,141,down
11680,content_9c1862fddbbb,client_f369cb89fc,0.591183267633401,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,13,0,6.2,0.0,20,181,down
11681,content_5da773cd04b2,client_6208ef0f77,0.5911500361247242,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,320,0,8.6,0.0,20,95,down
11682,content_d716815640bf,client_8527a891e2,0.5911315569051828,monitor,none,False,False,False,False,False,False,False,keyword article,commercial,4,0,1.0,0.0,8,127,flat
11683,content_2a6a41cdfcbe,client_4e07408562,0.5911298824872073,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,commercial,6481,12,5.5,0.19,13,487,stable
11684,content_2df8cc366c40,client_d029fa3a95,0.5911017665098892,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,35,0,8.9,0.0,20,151,up
11685,content_bf212b1edf1a,client_434c9b5ae5,0.5910922956192173,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,187,0,10.4,0.0,89,105,down
11686,content_248508c1b413,client_a88a7902cb,0.5910823181345577,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,123,0,29.7,0.0,20,112,down
11687,content_c82a63988e25,client_4e07408562,0.5910811956428086,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,380,0,19.4,0.0,13,347,down
11688,content_47245730a85b,client_a88a7902cb,0.591074467487359,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,2,0,8.5,0.0,8,98,down
11689,content_57976acc945c,client_d4735e3a26,0.5910706689561491,monitor_not_owned,ctr_underperforming_for_position|syndicated_not_owned,False,False,True,False,True,False,False,feedly article,unknown,2,0,9.0,0.0,20,295,new
